Date,Close
11/10/2013,43.35
14/10/2013,43.46
15/10/2013,43.01
16/10/2013,43.72
17/10/2013,45.93
18/10/2013,57.98
21/10/2013,58.25
22/10/2013,56.67
23/10/2013,57.51
24/10/2013,56.57
25/10/2013,56
28/10/2013,56.05
29/10/2013,57.24
30/10/2013,56.78
31/10/2013,57.06
01/11/2013,56.75
04/11/2013,58.03
05/11/2013,56.65
06/11/2013,57.09
07/11/2013,56.63
08/11/2013,58.24
11/11/2013,58.59
12/11/2013,58.5
13/11/2013,58.38
14/11/2013,54.68
15/11/2013,55.41
18/11/2013,54
19/11/2013,52.44
20/11/2013,52.69
21/11/2013,53.89
22/11/2013,54.15
25/11/2013,53.58
26/11/2013,53.93
27/11/2013,54.76
29/11/2013,54.64
02/12/2013,55.11
03/12/2013,55.17
04/12/2013,54.65
05/12/2013,54.53
06/12/2013,55.46
09/12/2013,55.75
10/12/2013,54.87
11/12/2013,53.68
12/12/2013,54.12
13/12/2013,54.2
16/12/2013,55.58
17/12/2013,56
18/12/2013,57.16
19/12/2013,56.47
20/12/2013,57.03
23/12/2013,58.04
24/12/2013,57.96
26/12/2013,57.77
27/12/2013,57.2
30/12/2013,57.05
31/12/2013,57.14
02/01/2014,56.96
03/01/2014,57.17
06/01/2014,59.9
07/01/2014,61.36
08/01/2014,60.73
09/01/2014,60.34
10/01/2014,60.71
13/01/2014,58.69
14/01/2014,60.4
15/01/2014,62.23
16/01/2014,62.12
17/01/2014,63.95
21/01/2014,62.67
22/01/2014,63.2
23/01/2014,63.4
24/01/2014,58.88
27/01/2014,55.43
28/01/2014,57.47
29/01/2014,57.74
30/01/2014,58.49
31/01/2014,59.42
03/02/2014,54.96
04/02/2014,55.23
05/02/2014,54.67
06/02/2014,54.01
07/02/2014,55.01
10/02/2014,54.99
11/02/2014,55.19
12/02/2014,54.91
13/02/2014,54.66
14/02/2014,54.58
18/02/2014,55.32
19/02/2014,53.8
20/02/2014,53.52
21/02/2014,52.98
24/02/2014,54.31
25/02/2014,53.46
26/02/2014,53.15
27/02/2014,52.93
28/02/2014,52.33
03/03/2014,52.3
04/03/2014,55.13
05/03/2014,54.07
06/03/2014,54.75
07/03/2014,55.28
10/03/2014,55.6
11/03/2014,54.28
12/03/2014,54.32
13/03/2014,52.38
14/03/2014,52.74
17/03/2014,53.45
18/03/2014,54.78
19/03/2014,54.16
20/03/2014,54.72
21/03/2014,53.92
24/03/2014,52.75
25/03/2014,52.91
26/03/2014,52.07
27/03/2014,51.43
28/03/2014,50.73
31/03/2014,51.79
01/04/2014,53.59
02/04/2014,54.24
03/04/2014,53.59
04/04/2014,54.81
07/04/2014,52.94
08/04/2014,52.35
09/04/2014,54.16
10/04/2014,50.61
11/04/2014,49.39
14/04/2014,49.15
15/04/2014,51.05
16/04/2014,51.68
17/04/2014,53.4
21/04/2014,52.25
22/04/2014,52.06
23/04/2014,52.45
24/04/2014,50.8
25/04/2014,50
28/04/2014,49.17
29/04/2014,50.06
30/04/2014,50.39
01/05/2014,51
02/05/2014,50.43
05/05/2014,50.33
06/05/2014,49.03
07/05/2014,48.19
08/05/2014,48.04
09/05/2014,49.45
12/05/2014,51.3
13/05/2014,51.01
14/05/2014,50.09
15/05/2014,49.69
16/05/2014,50.35
19/05/2014,50.79
20/05/2014,50.04
21/05/2014,52.71
22/05/2014,52.72
23/05/2014,54.13
27/05/2014,53.69
28/05/2014,53.18
29/05/2014,55.12
30/05/2014,54.61
02/06/2014,55.01
03/06/2014,53.89
04/06/2014,53.37
05/06/2014,53.56
06/06/2014,53.37
09/06/2014,53.15
10/06/2014,52.47
11/06/2014,51.6
12/06/2014,50.81
13/06/2014,50.78
16/06/2014,50.95
17/06/2014,51.06
18/06/2014,51.83
19/06/2014,52.16
20/06/2014,52.39
23/06/2014,52.51
24/06/2014,52.74
25/06/2014,54.05
26/06/2014,55.13
27/06/2014,56.32
30/06/2014,56.04
01/07/2014,57.36
02/07/2014,56.79
03/07/2014,57.14
07/07/2014,56.12
08/07/2014,55.11
09/07/2014,55.06
10/07/2014,54.46
11/07/2014,54.09
14/07/2014,54.31
15/07/2014,53.91
16/07/2014,53.92
17/07/2014,52.26
18/07/2014,52.57
21/07/2014,51.62
22/07/2014,52.62
23/07/2014,53.12
24/07/2014,53.23
25/07/2014,56.36
28/07/2014,54.72
29/07/2014,54.72
30/07/2014,55.54
31/07/2014,54.21
01/08/2014,53.42
04/08/2014,53.96
05/08/2014,54.14
06/08/2014,54.26
07/08/2014,53.54
08/08/2014,54.11
11/08/2014,54.27
12/08/2014,53.76
13/08/2014,54.75
14/08/2014,54.71
15/08/2014,54.35
18/08/2014,54.95
19/08/2014,55.14
20/08/2014,55.09
21/08/2014,54.49
22/08/2014,54.29
25/08/2014,55.22
26/08/2014,56.61
27/08/2014,55.5
28/08/2014,54.79
29/08/2014,54.46
02/09/2014,55.53
03/09/2014,55.29
04/09/2014,55.31
05/09/2014,55.31
08/09/2014,55.58
09/09/2014,54.9
10/09/2014,55.32
11/09/2014,55.55
12/09/2014,54.9
15/09/2014,53.78
16/09/2014,54.17
17/09/2014,53.9
18/09/2014,54.37
19/09/2014,54.88
22/09/2014,53.94
23/09/2014,52.93
24/09/2014,53.8
25/09/2014,52.83
26/09/2014,53.19
29/09/2014,53.12
30/09/2014,51.68
01/10/2014,50.07
02/10/2014,48.8
03/10/2014,48.49
06/10/2014,47.86
07/10/2014,47.03
08/10/2014,47.79
09/10/2014,46.63
10/10/2014,45.22
13/10/2014,44.96
14/10/2014,44.37
15/10/2014,44.56
16/10/2014,45.16
17/10/2014,45.38
20/10/2014,47.59
21/10/2014,48.8
22/10/2014,47.98
23/10/2014,49.04
24/10/2014,51.5
27/10/2014,51.32
28/10/2014,52.21
29/10/2014,52.18
30/10/2014,51.95
31/10/2014,52.62
03/11/2014,51.81
04/11/2014,52.23
05/11/2014,51.84
06/11/2014,52.63
07/11/2014,52.39
10/11/2014,52.37
11/11/2014,53.57
12/11/2014,54.86
13/11/2014,54.71
14/11/2014,54.27
17/11/2014,54.25
18/11/2014,54.76
19/11/2014,54.42
20/11/2014,55.13
21/11/2014,55.66
24/11/2014,56.98
25/11/2014,57.3
26/11/2014,57.34
28/11/2014,56.9
01/12/2014,55.85
02/12/2014,57
03/12/2014,56.32
04/12/2014,56.33
05/12/2014,56.79
08/12/2014,56.84
09/12/2014,57.63
10/12/2014,56.57
11/12/2014,56.46
12/12/2014,55.73
15/12/2014,55.41
16/12/2014,55.08
17/12/2014,55.45
18/12/2014,56.1
19/12/2014,56.83
22/12/2014,56.88
23/12/2014,56.84
24/12/2014,57.01
26/12/2014,56.66
29/12/2014,56.33
30/12/2014,56.36
31/12/2014,55.91
02/01/2015,56.2
05/01/2015,56.99
06/01/2015,57.45
07/01/2015,59.57
08/01/2015,61.44
09/01/2015,62.58
12/01/2015,63.17
13/01/2015,62.65
14/01/2015,61.06
15/01/2015,59.63
16/01/2015,56.92
20/01/2015,56.24
21/01/2015,55.9
22/01/2015,58.01
23/01/2015,57.46
26/01/2015,58.2
27/01/2015,58.75
28/01/2015,58.57
29/01/2015,58.67
30/01/2015,53.05
02/02/2015,55.18
03/02/2015,54.68
