Date,Close
21/11/2012,29.99
23/11/2012,30.31
26/11/2012,30.48
27/11/2012,30.34
28/11/2012,30.38
29/11/2012,30.7
30/11/2012,30.86
03/12/2012,30.66
04/12/2012,30.62
05/12/2012,32.8
06/12/2012,33.31
07/12/2012,32.48
10/12/2012,32.69
11/12/2012,32.28
12/12/2012,32.23
13/12/2012,32.22
14/12/2012,33.09
17/12/2012,33.53
18/12/2012,34.03
19/12/2012,34.31
20/12/2012,35.03
21/12/2012,34.94
24/12/2012,34.85
26/12/2012,35.28
27/12/2012,34.82
28/12/2012,34.9
31/12/2012,35.3
02/01/2013,36.23
03/01/2013,35.76
04/01/2013,34.96
07/01/2013,35.22
08/01/2013,35.33
09/01/2013,35.79
10/01/2013,35.35
11/01/2013,34.79
14/01/2013,35.41
15/01/2013,35.98
16/01/2013,35.76
17/01/2013,36.33
18/01/2013,37.25
22/01/2013,37.1
23/01/2013,37
24/01/2013,37.5
25/01/2013,37.69
28/01/2013,37.54
29/01/2013,37.99
30/01/2013,37.65
31/01/2013,37.81
01/02/2013,38.47
04/02/2013,37.76
05/02/2013,37.84
06/02/2013,37.93
07/02/2013,37.78
08/02/2013,38.01
11/02/2013,37.8
12/02/2013,37.91
13/02/2013,38.36
14/02/2013,40.26
15/02/2013,40.34
19/02/2013,41.85
20/02/2013,39.6
21/02/2013,38.93
22/02/2013,38.91
25/02/2013,38.86
26/02/2013,39.22
27/02/2013,39.11
28/02/2013,39.06
01/03/2013,39.06
04/03/2013,39.26
05/03/2013,39.98
06/03/2013,39.92
07/03/2013,39.22
08/03/2013,39.9
11/03/2013,39.56
12/03/2013,39.07
13/03/2013,38.9
14/03/2013,38.12
15/03/2013,38.29
18/03/2013,37.97
19/03/2013,37.19
20/03/2013,38.24
21/03/2013,38.19
22/03/2013,38.26
25/03/2013,36.99
26/03/2013,37.29
27/03/2013,37.48
28/03/2013,37.3
01/04/2013,37.28
02/04/2013,37.41
03/04/2013,37.09
04/04/2013,37.5
05/04/2013,37.53
08/04/2013,37.91
09/04/2013,37.81
10/04/2013,38.89
11/04/2013,38.49
12/04/2013,38.39
15/04/2013,37.8
16/04/2013,38.61
17/04/2013,39.03
18/04/2013,39
19/04/2013,39.62
22/04/2013,39.72
23/04/2013,39.97
24/04/2013,41.43
25/04/2013,42.51
26/04/2013,43
29/04/2013,42.25
30/04/2013,42.32
01/05/2013,42.04
02/05/2013,43.03
03/05/2013,43.15
06/05/2013,43.19
07/05/2013,43.6
08/05/2013,43.86
09/05/2013,43.78
10/05/2013,43.79
13/05/2013,43.98
14/05/2013,45.6
15/05/2013,45.77
16/05/2013,45.42
17/05/2013,46.11
20/05/2013,45.95
21/05/2013,45.26
22/05/2013,43.77
23/05/2013,44
24/05/2013,43.94
28/05/2013,44
29/05/2013,43.42
30/05/2013,43.96
