Date,Close
03/07/2012,35.84
05/07/2012,35.73
06/07/2012,34.04
09/07/2012,35.26
10/07/2012,33.08
11/07/2012,32.23
12/07/2012,33.53
13/07/2012,34.89
16/07/2012,34.13
17/07/2012,34.43
18/07/2012,29.66
19/07/2012,29.8
20/07/2012,30.39
23/07/2012,30.94
24/07/2012,28.2
25/07/2012,27.23
26/07/2012,27.43
27/07/2012,29.63
30/07/2012,29.17
31/07/2012,28.91
01/08/2012,27.78
02/08/2012,28.07
03/08/2012,30.23
06/08/2012,31.1
07/08/2012,31.95
08/08/2012,32.1
09/08/2012,32.67
10/08/2012,32.62
13/08/2012,32.29
14/08/2012,32.31
15/08/2012,32.65
16/08/2012,34.02
17/08/2012,35.15
20/08/2012,33.58
21/08/2012,33.13
22/08/2012,32.9
23/08/2012,31.97
24/08/2012,32.25
27/08/2012,31.94
28/08/2012,31.37
29/08/2012,31.48
30/08/2012,31.5
31/08/2012,32.31
04/09/2012,34.42
05/09/2012,34.37
06/09/2012,36.9
07/09/2012,37.83
10/09/2012,37.92
11/09/2012,37.05
12/09/2012,36.08
13/09/2012,37.71
14/09/2012,37.38
17/09/2012,35.85
18/09/2012,35.31
19/09/2012,37.55
20/09/2012,36.79
21/09/2012,36.91
24/09/2012,36.24
25/09/2012,34.44
26/09/2012,32.84
27/09/2012,33.33
28/09/2012,32.71
01/10/2012,32.28
02/10/2012,32.48
03/10/2012,32.18
04/10/2012,33.58
05/10/2012,33.9
08/10/2012,33.22
09/10/2012,33.05
10/10/2012,32.1
11/10/2012,32.49
12/10/2012,32.08
15/10/2012,33.44
16/10/2012,33.96
17/10/2012,39.22
18/10/2012,39.94
19/10/2012,38.58
22/10/2012,38.71
23/10/2012,38.79
24/10/2012,38.8
25/10/2012,39.08
26/10/2012,38.72
31/10/2012,40.66
01/11/2012,42.67
02/11/2012,40.94
05/11/2012,41.1
06/11/2012,41.44
07/11/2012,40.18
08/11/2012,38.87
09/11/2012,39.67
12/11/2012,40.77
13/11/2012,41.17
14/11/2012,39.17
15/11/2012,37.77
16/11/2012,38.95
19/11/2012,40.3
20/11/2012,40.04
21/11/2012,41
23/11/2012,41.25
26/11/2012,41
27/11/2012,39.86
28/11/2012,40.99
29/11/2012,41.5
30/11/2012,41.53
03/12/2012,41.67
04/12/2012,42.21
05/12/2012,42.57
06/12/2012,42.58
07/12/2012,42.7
10/12/2012,43.2
11/12/2012,43.08
12/12/2012,43.22
13/12/2012,42.41
14/12/2012,42.28
17/12/2012,42.54
18/12/2012,44.68
19/12/2012,44.78
20/12/2012,45.13
21/12/2012,44.8
24/12/2012,44.98
26/12/2012,44.22
27/12/2012,43.48
28/12/2012,42.72
31/12/2012,45.52
02/01/2013,47.91
03/01/2013,48.05
04/01/2013,48.99
07/01/2013,48.25
08/01/2013,48.1
09/01/2013,48.25
10/01/2013,48.2
11/01/2013,47.57
14/01/2013,47.6
15/01/2013,48.71
16/01/2013,48.32
17/01/2013,49.28
18/01/2013,50.04
22/01/2013,48.93
23/01/2013,49.43
24/01/2013,49.16
25/01/2013,51.12
28/01/2013,51.41
29/01/2013,51.02
30/01/2013,49.86
31/01/2013,50.62
01/02/2013,52.26
04/02/2013,50.75
05/02/2013,51.95
06/02/2013,52.55
07/02/2013,52.45
08/02/2013,53.09
11/02/2013,53.32
12/02/2013,54.3
